               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.025601,            0.022877,            0.003499,             0.83691,             0.67799,              0.7671,             0.58717,            0.031232,            0.011886,            0.026923,           0.0072033,           0.0072033,           0.0072033
                 115,            0.026399,            0.023611,           0.0033411,             0.82478,             0.73165,              0.7739,              0.6007,            0.031519,             0.01141,            0.022889,           0.0071785,           0.0071785,           0.0071785
                 116,             0.02543,            0.023408,           0.0029134,              0.9117,             0.68215,             0.78138,             0.56001,            0.033451,            0.012352,            0.022467,           0.0071538,           0.0071538,           0.0071538
                 117,            0.025255,              0.0222,           0.0038536,             0.86693,              0.7115,             0.82086,             0.60059,            0.034025,            0.012406,            0.019537,            0.007129,            0.007129,            0.007129
                 118,            0.024278,             0.02197,            0.003393,             0.82137,             0.78613,             0.86259,             0.65103,            0.031453,            0.010958,            0.011563,           0.0071042,           0.0071042,           0.0071042
                 119,            0.024426,            0.021239,           0.0037134,             0.84771,              0.6743,             0.77872,             0.59306,            0.033119,            0.011962,            0.025612,           0.0070795,           0.0070795,           0.0070795
                 120,            0.024996,            0.021803,           0.0037348,              0.8383,             0.74756,             0.81909,              0.6099,            0.032747,            0.011558,            0.012159,           0.0070547,           0.0070547,           0.0070547
                 121,            0.025341,            0.023168,           0.0032935,             0.78951,             0.73993,             0.78905,             0.60598,            0.030747,             0.01137,            0.025279,             0.00703,             0.00703,             0.00703
                 122,            0.025716,            0.022478,           0.0036582,             0.88178,             0.70975,              0.8149,             0.61952,            0.030698,            0.010513,            0.027897,           0.0070053,           0.0070053,           0.0070053
                 123,            0.025398,            0.022333,           0.0030704,             0.86815,               0.725,             0.79988,             0.61979,            0.030182,            0.010884,            0.029208,           0.0069805,           0.0069805,           0.0069805
                 124,            0.025609,            0.022874,           0.0031658,             0.82349,             0.71647,             0.77224,             0.60045,            0.030879,            0.011241,            0.027588,           0.0069558,           0.0069558,           0.0069558
                 125,            0.024337,            0.022216,           0.0033717,             0.79252,             0.73769,             0.78113,             0.57458,            0.031672,            0.012507,            0.024053,            0.006931,            0.006931,            0.006931
                 126,            0.024758,            0.022715,           0.0027667,             0.77622,             0.66207,             0.74976,             0.54946,            0.032728,            0.013591,            0.026987,           0.0069063,           0.0069063,           0.0069063
                 127,            0.026187,             0.02297,           0.0028771,             0.84976,             0.70708,             0.77385,             0.57939,            0.032606,            0.012995,            0.026528,           0.0068815,           0.0068815,           0.0068815
                 128,            0.025141,            0.022337,           0.0033052,             0.80659,             0.68425,             0.75953,             0.59041,             0.03128,            0.012244,            0.027915,           0.0068568,           0.0068568,           0.0068568
                 129,            0.024504,            0.022407,           0.0030005,             0.83521,             0.68698,             0.76225,             0.58113,            0.030963,            0.011964,            0.029707,            0.006832,            0.006832,            0.006832
                 130,            0.024537,            0.021329,           0.0035109,              0.8577,             0.71886,             0.78633,             0.60702,            0.030819,            0.011373,            0.028834,           0.0068073,           0.0068073,           0.0068073
                 131,            0.023565,            0.020627,           0.0034647,             0.90748,             0.67772,             0.79152,             0.61669,            0.032045,            0.011465,            0.024227,           0.0067825,           0.0067825,           0.0067825
